"Species","Density","Source"
"Capreolus capreolus",10.187,"Santini et al. (2022, GEB)"
"Capreolus pygargus",1.489,"Santini et al. (2022, GEB)"
"Cervus elaphus",3.48,"Santini et al. (2022, GEB)"
"Cervus nippon",4.329,"Santini et al. (2022, GEB)"
"Dama dama",20.063,"Santini et al. (2022, GEB)"
"Elaphodus cephalophus",2.462,"Santini et al. (2022, GEB)"
"Elaphurus davidianus",1.252,"Santini et al. (2022, GEB)"
"Hippocamelus antisensis",1.792,"Santini et al. (2022, GEB)"
"Hippocamelus bisulcus",1.459,"Santini et al. (2022, GEB)"
"Hydropotes inermis",4.791,"Santini et al. (2022, GEB)"
"Mazama americana",1.89,"Santini et al. (2022, GEB)"
"Mazama bororo",3.777,"Santini et al. (2022, GEB)"
"Mazama bricenii",4.778,"Santini et al. (2022, GEB)"
