"Species","Density","Source"
"Octodon degus",233.017,"Santini et al. (2022, GEB)"
"Octodon lunatus",150.085,"Santini et al. (2022, GEB)"
"Octodon pacificus",120.243,"Santini et al. (2022, GEB)"
"Octodontomys gliroides",160.979,"Santini et al. (2022, GEB)"
"Octomys mimax",197.669,"Santini et al. (2022, GEB)"
"Pipanacoctomys aureus",193.924,"Santini et al. (2022, GEB)"
"Salinoctomys loschalchalerosorum",206.682,"Santini et al. (2022, GEB)"
"Spalacopus cyanus",1304.071,"Santini et al. (2022, GEB)"
"Tympanoctomys barrerae",371.471,"Santini et al. (2022, GEB)"
"Pedetes capensis",12.741,"Santini et al. (2022, GEB)"
"Pedetes surdaster",20.719,"Santini et al. (2022, GEB)"
"Petromus typicus",229.778,"Santini et al. (2022, GEB)"
"Platacanthomys lasiurus",311.416,"Santini et al. (2022, GEB)"
"Typhlomys cinereus",655.902,"Santini et al. (2022, GEB)"
"Aeretes melanopterus",18.175,"Santini et al. (2022, GEB)"
"Aeromys tephromelas",20.45,"Santini et al. (2022, GEB)"
"Aeromys thomasi",14.34,"Santini et al. (2022, GEB)"
"Ammospermophilus harrisii",78.708,"Santini et al. (2022, GEB)"
"Ammospermophilus interpres",126.734,"Santini et al. (2022, GEB)"
"Ammospermophilus leucurus",89.23,"Santini et al. (2022, GEB)"
"Ammospermophilus nelsoni",63.51,"Santini et al. (2022, GEB)"
"Atlantoxerus getulus",100.078,"Santini et al. (2022, GEB)"
"Belomys pearsonii",46.934,"Santini et al. (2022, GEB)"
"Biswamoyopterus biswasi",12.386,"Santini et al. (2022, GEB)"
"Callosciurus adamsi",83.121,"Santini et al. (2022, GEB)"
"Callosciurus albescens",56.356,"Santini et al. (2022, GEB)"
"Callosciurus baluensis",32.874,"Santini et al. (2022, GEB)"
"Callosciurus caniceps",46.805,"Santini et al. (2022, GEB)"
"Callosciurus erythraeus",87.81,"Santini et al. (2022, GEB)"
"Callosciurus finlaysonii",49.94,"Santini et al. (2022, GEB)"
"Callosciurus inornatus",29.083,"Santini et al. (2022, GEB)"
"Callosciurus melanogaster",56.367,"Santini et al. (2022, GEB)"
"Callosciurus nigrovittatus",54.995,"Santini et al. (2022, GEB)"
"Callosciurus notatus",54.059,"Santini et al. (2022, GEB)"
"Callosciurus orestes",40.522,"Santini et al. (2022, GEB)"
"Callosciurus phayrei",41.69,"Santini et al. (2022, GEB)"
"Callosciurus prevostii",28.486,"Santini et al. (2022, GEB)"
"Callosciurus pygerythrus",42.134,"Santini et al. (2022, GEB)"
"Callosciurus quinquestriatus",47.435,"Santini et al. (2022, GEB)"
"Cynomys gunnisoni",48.23,"Santini et al. (2022, GEB)"
"Cynomys leucurus",174.999,"Santini et al. (2022, GEB)"
"Cynomys ludovicianus",29.146,"Santini et al. (2022, GEB)"
"Cynomys mexicanus",55.566,"Santini et al. (2022, GEB)"
"Cynomys parvidens",55.719,"Santini et al. (2022, GEB)"
"Dremomys everetti",111.197,"Santini et al. (2022, GEB)"
"Dremomys gularis",91.222,"Santini et al. (2022, GEB)"
"Dremomys lokriah",76.53,"Santini et al. (2022, GEB)"
"Dremomys pernyi",102.967,"Santini et al. (2022, GEB)"
"Dremomys pyrrhomerus",127.093,"Santini et al. (2022, GEB)"
"Dremomys rufigenis",85.9,"Santini et al. (2022, GEB)"
"Eoglaucomys fimbriatus",30.395,"Santini et al. (2022, GEB)"
"Epixerus ebii",22.349,"Santini et al. (2022, GEB)"
"Eupetaurus cinereus",15.871,"Santini et al. (2022, GEB)"
"Exilisciurus concinnus",263.713,"Santini et al. (2022, GEB)"
"Exilisciurus exilis",335.252,"Santini et al. (2022, GEB)"
"Exilisciurus whiteheadi",324.866,"Santini et al. (2022, GEB)"
"Funambulus layardi",173.645,"Santini et al. (2022, GEB)"
"Funambulus palmarum",186.075,"Santini et al. (2022, GEB)"
"Funambulus pennantii",122.134,"Santini et al. (2022, GEB)"
"Funambulus sublineatus",301.365,"Santini et al. (2022, GEB)"
"Funambulus tristriatus",154.481,"Santini et al. (2022, GEB)"
"Funisciurus anerythrus",31.571,"Santini et al. (2022, GEB)"
"Funisciurus bayonii",52.325,"Santini et al. (2022, GEB)"
"Funisciurus carruthersi",28.63,"Santini et al. (2022, GEB)"
"Funisciurus congicus",61.91,"Santini et al. (2022, GEB)"
"Funisciurus isabella",55.975,"Santini et al. (2022, GEB)"
"Funisciurus lemniscatus",51.343,"Santini et al. (2022, GEB)"
"Funisciurus leucogenys",34.751,"Santini et al. (2022, GEB)"
"Funisciurus pyrropus",25.778,"Santini et al. (2022, GEB)"
"Funisciurus substriatus",45.369,"Santini et al. (2022, GEB)"
"Glaucomys sabrinus",99.87,"Santini et al. (2022, GEB)"
"Glaucomys volans",530.125,"Santini et al. (2022, GEB)"
"Glyphotes simus",109.303,"Santini et al. (2022, GEB)"
"Heliosciurus gambianus",28.19,"Santini et al. (2022, GEB)"
"Heliosciurus mutabilis",21.892,"Santini et al. (2022, GEB)"
"Heliosciurus punctatus",38.557,"Santini et al. (2022, GEB)"
"Heliosciurus rufobrachium",21.31,"Santini et al. (2022, GEB)"
"Heliosciurus ruwenzorii",29.026,"Santini et al. (2022, GEB)"
"Heliosciurus undulatus",35.108,"Santini et al. (2022, GEB)"
"Hylopetes alboniger",35.885,"Santini et al. (2022, GEB)"
"Hylopetes bartelsi",69.411,"Santini et al. (2022, GEB)"
"Hylopetes nigripes",18.623,"Santini et al. (2022, GEB)"
"Hylopetes phayrei",36.944,"Santini et al. (2022, GEB)"
"Hylopetes platyurus",120.1,"Santini et al. (2022, GEB)"
"Hylopetes sipora",108.513,"Santini et al. (2022, GEB)"
"Hylopetes spadiceus",85.685,"Santini et al. (2022, GEB)"
"Hylopetes winstoni",40.505,"Santini et al. (2022, GEB)"
"Hyosciurus heinrichi",34.957,"Santini et al. (2022, GEB)"
"Hyosciurus ileile",36.11,"Santini et al. (2022, GEB)"
"Iomys horsfieldii",53.43,"Santini et al. (2022, GEB)"
"Iomys sipora",70.611,"Santini et al. (2022, GEB)"
"Lariscus hosei",79.07,"Santini et al. (2022, GEB)"
"Lariscus insignis",88.06,"Santini et al. (2022, GEB)"
"Lariscus niobe",87.126,"Santini et al. (2022, GEB)"
"Lariscus obscurus",69.857,"Santini et al. (2022, GEB)"
"Marmota baibacina",5.358,"Santini et al. (2022, GEB)"
"Marmota bobak",11.473,"Santini et al. (2022, GEB)"
"Marmota broweri",7.57,"Santini et al. (2022, GEB)"
"Marmota caligata",5.344,"Santini et al. (2022, GEB)"
"Marmota camtschatica",10.116,"Santini et al. (2022, GEB)"
"Marmota caudata",8.372,"Santini et al. (2022, GEB)"
"Marmota flaviventris",16.237,"Santini et al. (2022, GEB)"
"Marmota himalayana",10.173,"Santini et al. (2022, GEB)"
"Marmota marmota",45.056,"Santini et al. (2022, GEB)"
"Marmota menzbieri",18.301,"Santini et al. (2022, GEB)"
"Marmota monax",34.863,"Santini et al. (2022, GEB)"
"Marmota olympus",3.567,"Santini et al. (2022, GEB)"
"Marmota sibirica",1.031,"Santini et al. (2022, GEB)"
"Marmota vancouverensis",4.345,"Santini et al. (2022, GEB)"
"Menetes berdmorei",63.596,"Santini et al. (2022, GEB)"
"Microsciurus alfari",126.748,"Santini et al. (2022, GEB)"
"Microsciurus flaviventer",7.384,"Santini et al. (2022, GEB)"
"Microsciurus mimulus",135.322,"Santini et al. (2022, GEB)"
"Microsciurus santanderensis",118.822,"Santini et al. (2022, GEB)"
"Myosciurus pumilio",109.407,"Santini et al. (2022, GEB)"
"Nannosciurus melanotis",163.729,"Santini et al. (2022, GEB)"
"Paraxerus alexandri",267.067,"Santini et al. (2022, GEB)"
"Paraxerus boehmi",220.75,"Santini et al. (2022, GEB)"
"Paraxerus cepapi",84.339,"Santini et al. (2022, GEB)"
"Paraxerus cooperi",83.454,"Santini et al. (2022, GEB)"
"Paraxerus flavovittis",128.092,"Santini et al. (2022, GEB)"
"Paraxerus lucifer",36.5,"Santini et al. (2022, GEB)"
"Paraxerus ochraceus",249.953,"Santini et al. (2022, GEB)"
"Paraxerus palliatus",177.423,"Santini et al. (2022, GEB)"
"Paraxerus poensis",152.494,"Santini et al. (2022, GEB)"
"Paraxerus vexillarius",37.079,"Santini et al. (2022, GEB)"
"Paraxerus vincenti",114.585,"Santini et al. (2022, GEB)"
"Petaurillus emiliae",292.572,"Santini et al. (2022, GEB)"
"Petaurillus hosei",273.231,"Santini et al. (2022, GEB)"
"Petaurillus kinlochii",121.218,"Santini et al. (2022, GEB)"
"Petaurista alborufus",6.194,"Santini et al. (2022, GEB)"
"Petaurista elegans",21.504,"Santini et al. (2022, GEB)"
"Petaurista leucogenys",20.418,"Santini et al. (2022, GEB)"
"Petaurista magnificus",13.352,"Santini et al. (2022, GEB)"
"Petaurista nobilis",8.76,"Santini et al. (2022, GEB)"
"Petaurista petaurista",13.156,"Santini et al. (2022, GEB)"
"Petaurista philippensis",14.025,"Santini et al. (2022, GEB)"
"Petaurista xanthotis",13.851,"Santini et al. (2022, GEB)"
"Petinomys crinitus",265.413,"Santini et al. (2022, GEB)"
"Petinomys fuscocapillus",40.258,"Santini et al. (2022, GEB)"
"Petinomys genibarbis",217.759,"Santini et al. (2022, GEB)"
"Petinomys hageni",98.725,"Santini et al. (2022, GEB)"
"Petinomys lugens",65.036,"Santini et al. (2022, GEB)"
"Petinomys mindanensis",227.704,"Santini et al. (2022, GEB)"
"Petinomys setosus",479.526,"Santini et al. (2022, GEB)"
"Petinomys vordermanni",447.927,"Santini et al. (2022, GEB)"
"Prosciurillus abstrusus",324.931,"Santini et al. (2022, GEB)"
"Prosciurillus leucomus",227.79,"Santini et al. (2022, GEB)"
"Prosciurillus murinus",341.055,"Santini et al. (2022, GEB)"
"Prosciurillus rosenbergii",419.489,"Santini et al. (2022, GEB)"
"Prosciurillus weberi",253.854,"Santini et al. (2022, GEB)"
"Protoxerus aubinnii",20.151,"Santini et al. (2022, GEB)"
"Protoxerus stangeri",16.65,"Santini et al. (2022, GEB)"
"Pteromys momonga",70.433,"Santini et al. (2022, GEB)"
"Pteromys volans",77.698,"Santini et al. (2022, GEB)"
"Pteromyscus pulverulentus",89.126,"Santini et al. (2022, GEB)"
"Ratufa affinis",9.77,"Santini et al. (2022, GEB)"
"Ratufa bicolor",6.555,"Santini et al. (2022, GEB)"
"Ratufa indica",7.83,"Santini et al. (2022, GEB)"
"Ratufa macroura",18.626,"Santini et al. (2022, GEB)"
"Rheithrosciurus macrotis",22.942,"Santini et al. (2022, GEB)"
"Rhinosciurus laticaudatus",36.492,"Santini et al. (2022, GEB)"
"Rubrisciurus rubriventer",61.347,"Santini et al. (2022, GEB)"
"Sciurillus pusillus",56.503,"Santini et al. (2022, GEB)"
"Sciurotamias davidianus",33.499,"Santini et al. (2022, GEB)"
"Sciurotamias forresti",30.074,"Santini et al. (2022, GEB)"
"Sciurus aberti",36.32,"Santini et al. (2022, GEB)"
"Sciurus aestuans",7.16,"Santini et al. (2022, GEB)"
"Sciurus alleni",42.277,"Santini et al. (2022, GEB)"
"Sciurus anomalus",93.768,"Santini et al. (2022, GEB)"
"Sciurus arizonensis",22.85,"Santini et al. (2022, GEB)"
"Sciurus aureogaster",24.635,"Santini et al. (2022, GEB)"
"Sciurus carolinensis",103.957,"Santini et al. (2022, GEB)"
"Sciurus colliaei",29.434,"Santini et al. (2022, GEB)"
"Sciurus deppei",58.134,"Santini et al. (2022, GEB)"
"Sciurus flammifer",3.682,"Santini et al. (2022, GEB)"
"Sciurus gilvigularis",15.595,"Santini et al. (2022, GEB)"
"Sciurus granatensis",43.33,"Santini et al. (2022, GEB)"
"Sciurus griseus",22.245,"Santini et al. (2022, GEB)"
"Sciurus ignitus",63.033,"Santini et al. (2022, GEB)"
"Sciurus igniventris",7.498,"Santini et al. (2022, GEB)"
"Sciurus lis",72.304,"Santini et al. (2022, GEB)"
"Sciurus nayaritensis",26.091,"Santini et al. (2022, GEB)"
"Sciurus niger",86.884,"Santini et al. (2022, GEB)"
"Sciurus oculatus",31.32,"Santini et al. (2022, GEB)"
"Sciurus pucheranii",24.697,"Santini et al. (2022, GEB)"
"Sciurus pyrrhinus",49.356,"Santini et al. (2022, GEB)"
"Sciurus richmondi",60.486,"Santini et al. (2022, GEB)"
"Sciurus sanborni",78.682,"Santini et al. (2022, GEB)"
"Sciurus spadiceus",8.478,"Santini et al. (2022, GEB)"
"Sciurus stramineus",45.478,"Santini et al. (2022, GEB)"
"Sciurus variegatoides",21.471,"Santini et al. (2022, GEB)"
"Sciurus vulgaris",30.639,"Santini et al. (2022, GEB)"
"Sciurus yucatanensis",48.48,"Santini et al. (2022, GEB)"
"Spermophilopsis leptodactylus",48.296,"Santini et al. (2022, GEB)"
"Spermophilus adocetus",76.343,"Santini et al. (2022, GEB)"
"Spermophilus alashanicus",50.589,"Santini et al. (2022, GEB)"
"Spermophilus annulatus",20.25,"Santini et al. (2022, GEB)"
"Spermophilus armatus",36.002,"Santini et al. (2022, GEB)"
"Spermophilus beecheyi",24.169,"Santini et al. (2022, GEB)"
"Spermophilus beldingi",61.914,"Santini et al. (2022, GEB)"
"Spermophilus brevicauda",50.087,"Santini et al. (2022, GEB)"
"Spermophilus canus",63.633,"Santini et al. (2022, GEB)"
"Spermophilus citellus",94.024,"Santini et al. (2022, GEB)"
"Spermophilus columbianus",24.367,"Santini et al. (2022, GEB)"
"Spermophilus dauricus",57.903,"Santini et al. (2022, GEB)"
"Spermophilus elegans",26.208,"Santini et al. (2022, GEB)"
"Spermophilus erythrogenys",57.273,"Santini et al. (2022, GEB)"
"Spermophilus franklinii",44.808,"Santini et al. (2022, GEB)"
"Spermophilus fulvus",35.958,"Santini et al. (2022, GEB)"
"Spermophilus lateralis",127.817,"Santini et al. (2022, GEB)"
"Spermophilus madrensis",47.819,"Santini et al. (2022, GEB)"
"Spermophilus major",77.857,"Santini et al. (2022, GEB)"
"Spermophilus mexicanus",89.279,"Santini et al. (2022, GEB)"
"Spermophilus mohavensis",70.591,"Santini et al. (2022, GEB)"
"Spermophilus pallidicauda",32.704,"Santini et al. (2022, GEB)"
"Spermophilus parryii",25.74,"Santini et al. (2022, GEB)"
"Spermophilus perotensis",102.568,"Santini et al. (2022, GEB)"
"Spermophilus pygmaeus",152.608,"Santini et al. (2022, GEB)"
"Spermophilus ralli",56.412,"Santini et al. (2022, GEB)"
"Spermophilus relictus",32.922,"Santini et al. (2022, GEB)"
"Spermophilus richardsonii",263.642,"Santini et al. (2022, GEB)"
"Spermophilus saturatus",48.066,"Santini et al. (2022, GEB)"
"Spermophilus spilosoma",112.733,"Santini et al. (2022, GEB)"
"Spermophilus suslicus",108.289,"Santini et al. (2022, GEB)"
"Spermophilus tereticaudus",88.872,"Santini et al. (2022, GEB)"
"Spermophilus townsendii",261.159,"Santini et al. (2022, GEB)"
"Spermophilus tridecemlineatus",105.112,"Santini et al. (2022, GEB)"
"Spermophilus undulatus",12.432,"Santini et al. (2022, GEB)"
"Spermophilus variegatus",26.782,"Santini et al. (2022, GEB)"
"Spermophilus washingtoni",73.382,"Santini et al. (2022, GEB)"
"Spermophilus xanthoprymnus",79.4,"Santini et al. (2022, GEB)"
"Sundasciurus brookei",87.419,"Santini et al. (2022, GEB)"
"Sundasciurus davensis",97.88,"Santini et al. (2022, GEB)"
"Sundasciurus fraterculus",69.291,"Santini et al. (2022, GEB)"
"Sundasciurus hippurus",9.524,"Santini et al. (2022, GEB)"
"Sundasciurus hoogstraali",93.249,"Santini et al. (2022, GEB)"
"Sundasciurus jentinki",169.345,"Santini et al. (2022, GEB)"
"Sundasciurus juvencus",95.102,"Santini et al. (2022, GEB)"
"Sundasciurus lowii",131.011,"Santini et al. (2022, GEB)"
"Sundasciurus mindanensis",101.664,"Santini et al. (2022, GEB)"
"Sundasciurus moellendorffi",62.591,"Santini et al. (2022, GEB)"
"Sundasciurus philippinensis",74.615,"Santini et al. (2022, GEB)"
"Sundasciurus rabori",103.895,"Santini et al. (2022, GEB)"
"Sundasciurus samarensis",84.768,"Santini et al. (2022, GEB)"
"Sundasciurus steerii",73.04,"Santini et al. (2022, GEB)"
"Sundasciurus tenuis",148.344,"Santini et al. (2022, GEB)"
"Syntheosciurus brochus",115.469,"Santini et al. (2022, GEB)"
"Tamias alpinus",358.066,"Santini et al. (2022, GEB)"
"Tamias amoenus",185.613,"Santini et al. (2022, GEB)"
"Tamias bulleri",136.916,"Santini et al. (2022, GEB)"
"Tamias canipes",236.018,"Santini et al. (2022, GEB)"
"Tamias cinereicollis",315.114,"Santini et al. (2022, GEB)"
"Tamias dorsalis",264.167,"Santini et al. (2022, GEB)"
"Tamias durangae",167.227,"Santini et al. (2022, GEB)"
"Tamias merriami",197.608,"Santini et al. (2022, GEB)"
"Tamias minimus",84.432,"Santini et al. (2022, GEB)"
"Tamias obscurus",226.345,"Santini et al. (2022, GEB)"
"Tamias ochrogenys",83.696,"Santini et al. (2022, GEB)"
"Tamias palmeri",264.255,"Santini et al. (2022, GEB)"
"Tamias panamintinus",203.122,"Santini et al. (2022, GEB)"
"Tamias quadrimaculatus",141.306,"Santini et al. (2022, GEB)"
"Tamias quadrivittatus",318.961,"Santini et al. (2022, GEB)"
"Tamias ruficaudus",246.736,"Santini et al. (2022, GEB)"
"Tamias rufus",378.312,"Santini et al. (2022, GEB)"
"Tamias senex",163.651,"Santini et al. (2022, GEB)"
"Tamias sibiricus",53.823,"Santini et al. (2022, GEB)"
"Tamias siskiyou",111.902,"Santini et al. (2022, GEB)"
"Tamias sonomae",120.414,"Santini et al. (2022, GEB)"
"Tamias speciosus",215.098,"Santini et al. (2022, GEB)"
"Tamias striatus",120.485,"Santini et al. (2022, GEB)"
"Tamias townsendii",80.235,"Santini et al. (2022, GEB)"
"Tamias umbrinus",249.606,"Santini et al. (2022, GEB)"
"Tamiasciurus douglasii",58.121,"Santini et al. (2022, GEB)"
"Tamiasciurus hudsonicus",219.016,"Santini et al. (2022, GEB)"
"Tamiasciurus mearnsi",71.865,"Santini et al. (2022, GEB)"
"Tamiops maritimus",144.438,"Santini et al. (2022, GEB)"
"Tamiops rodolphii",156.874,"Santini et al. (2022, GEB)"
"Tamiops swinhoei",86.905,"Santini et al. (2022, GEB)"
"Trogopterus xanthipes",39.12,"Santini et al. (2022, GEB)"
"Xerus erythropus",18.175,"Santini et al. (2022, GEB)"
"Xerus inauris",26.787,"Santini et al. (2022, GEB)"
"Xerus princeps",18.872,"Santini et al. (2022, GEB)"
"Xerus rutilus",36.749,"Santini et al. (2022, GEB)"
"Cannomys badius",543.09,"Santini et al. (2022, GEB)"
"Eospalax fontanierii",622.303,"Santini et al. (2022, GEB)"
"Eospalax rothschildi",658.56,"Santini et al. (2022, GEB)"
"Eospalax smithii",702.15,"Santini et al. (2022, GEB)"
"Myospalax aspalax",480.972,"Santini et al. (2022, GEB)"
"Myospalax myospalax",680.048,"Santini et al. (2022, GEB)"
"Myospalax psilurus",430.245,"Santini et al. (2022, GEB)"
"Rhizomys pruinosus",140.553,"Santini et al. (2022, GEB)"
"Rhizomys sinensis",286.607,"Santini et al. (2022, GEB)"
"Rhizomys sumatrensis",181.792,"Santini et al. (2022, GEB)"
"Spalax arenarius",1073.993,"Santini et al. (2022, GEB)"
"Spalax ehrenbergi",1716.809,"Santini et al. (2022, GEB)"
"Spalax giganteus",1324.819,"Santini et al. (2022, GEB)"
"Spalax graecus",1214.243,"Santini et al. (2022, GEB)"
"Spalax leucodon",1065.403,"Santini et al. (2022, GEB)"
"Spalax microphthalmus",1146.918,"Santini et al. (2022, GEB)"
"Spalax nehringi",1518.611,"Santini et al. (2022, GEB)"
"Spalax uralensis",1964.04,"Santini et al. (2022, GEB)"
"Spalax zemni",1511.389,"Santini et al. (2022, GEB)"
"Tachyoryctes macrocephalus",429.978,"Santini et al. (2022, GEB)"
"Tachyoryctes splendens",737.413,"Santini et al. (2022, GEB)"
"Thryonomys gregorianus",21.88,"Santini et al. (2022, GEB)"
"Thryonomys swinderianus",6.105,"Santini et al. (2022, GEB)"
"Ptilocercus lowii",55.888,"Santini et al. (2022, GEB)"
"Anathana ellioti",61.114,"Santini et al. (2022, GEB)"
"Dendrogale melanura",45.04,"Santini et al. (2022, GEB)"
"Dendrogale murina",50.396,"Santini et al. (2022, GEB)"
"Tupaia belangeri",37.189,"Santini et al. (2022, GEB)"
"Tupaia chrysogaster",44.516,"Santini et al. (2022, GEB)"
"Tupaia dorsalis",27.244,"Santini et al. (2022, GEB)"
"Tupaia glis",64.616,"Santini et al. (2022, GEB)"
"Tupaia gracilis",65.406,"Santini et al. (2022, GEB)"
"Tupaia javanica",50.481,"Santini et al. (2022, GEB)"
"Tupaia longipes",42.488,"Santini et al. (2022, GEB)"
"Tupaia minor",88.34,"Santini et al. (2022, GEB)"
"Tupaia montana",36.091,"Santini et al. (2022, GEB)"
"Tupaia nicobarica",63.597,"Santini et al. (2022, GEB)"
"Tupaia palawanensis",41.833,"Santini et al. (2022, GEB)"
"Tupaia picta",38.768,"Santini et al. (2022, GEB)"
"Tupaia splendidula",42.631,"Santini et al. (2022, GEB)"
"Tupaia tana",36.388,"Santini et al. (2022, GEB)"
"Urogale everetti",17.763,"Santini et al. (2022, GEB)"
"Orycteropus afer",0.233,"Santini et al. (2022, GEB)"
"Sciurotamias forresti",32.673,"Santini et al. (2022, GEB)"
"Sciurus aberti",41.033,"Santini et al. (2022, GEB)"
"Sciurus aestuans",7.547,"Santini et al. (2022, GEB)"
"Sciurus alleni",44.098,"Santini et al. (2022, GEB)"
"Sciurus anomalus",101.023,"Santini et al. (2022, GEB)"
"Sciurus arizonensis",23.519,"Santini et al. (2022, GEB)"
"Sciurus aureogaster",25.289,"Santini et al. (2022, GEB)"
"Sciurus carolinensis",107.945,"Santini et al. (2022, GEB)"
